S.No,Headline,Section,Category,Link
239,"Cronje, match-fixing and plane crash that left a complex legacy",General,Sports,N/A
240,More to explore,General,Sports,N/A
241,Who will win Champions League? BBC Sport experts make predictions,General,Sports,N/A
242,Ten teenage stars to look out for in Champions League,General,Sports,N/A
243,Meet the GB team going for maiden BJK Cup title,General,Sports,N/A
244,The World Cup's final four - and how England can beat them,General,Sports,N/A
245,"'There is, and always will be, only one Ricky Hatton'",General,Sports,N/A
246,Our latest podcasts,General,Sports,N/A
247,"Football Daily. UCL Debrief: Spurs Survive Villarreal & Arsenalâs Super Subs Shine in Bilbao. Audio, 36 minutesFootball DailyUCL Debrief: Spurs Survive Villarreal & Arsenalâs Super Subs Shine in Bilbao",General,Sports,N/A
248,"BBC Womenâs Football Weekly. Manchester United sit top, Spurs impress & Liverpool struggles. Audio, 37 minutesBBC Womenâs Football WeeklyManchester United sit top, Spurs impress & Liverpool struggles",General,Sports,N/A
249,"Test Match Special. No Balls: Crossyâs back to County Cricket after The Hundred. Audio, 34 minutesTest Match SpecialNo Balls: Crossyâs back to County Cricket after The Hundred",General,Sports,N/A
250,"Football Daily. Monday Night Club: Paul Scholes, Dean Smith & AI transfers. Audio, 60 minutesFootball DailyMonday Night Club: Paul Scholes, Dean Smith & AI transfers",General,Sports,N/A
251,"Test Match Special. Asia Cup: Lack of handshakes the focus as India beat Pakistan. Audio, 32 minutesTest Match SpecialAsia Cup: Lack of handshakes the focus as India beat Pakistan",General,Sports,N/A
252,"The Wayne Rooney Show. Manchester United's Derby Woes & Remembering Ricky Hatton. Audio, 38 minutesThe Wayne Rooney ShowManchester United's Derby Woes & Remembering Ricky Hatton",General,Sports,N/A
253,Discover the BBC's best sports podcasts,General,Sports,N/A
254,Football Extra newsletter,General,Sports,N/A
255,Things you need to know,General,Sports,N/A
256,More from BBC News,General,Sports,N/A
257,Where and how to watch BBC News,General,Sports,N/A
258,Premier League,General,Sports,N/A
259,European Football,General,Sports,N/A
260,Find out more about our BBC Sport app,General,Sports,N/A
261,Find us here,General,Sports,N/A
262,Find out more,General,Sports,N/A
263,Acting legend Robert Redford dies aged 89,Articles,Entertainment,https://www.bbc.com/news/articles/c1dqe9ey0kgo
264,Robert Redford: An enthralling star with an aura that lit up Hollywood,Articles,Entertainment,https://www.bbc.com/news/articles/ckke5522r23o
265,Sabrina Carpenter and Justin Bieber to headline Coachella 2026,Articles,Entertainment,https://www.bbc.com/news/articles/cr5q8zg0zy9o
266,Eden Project architect Sir Nicholas Grimshaw dies,Articles,Entertainment,https://www.bbc.com/news/articles/cj079z4lgn4o
267,First image of Michael Sheen as Owain Glyndŵr,Articles,Entertainment,https://www.bbc.com/news/articles/cyv6mqnpy4lo
268,Robert Redford: An enthralling star with an aura that lit up Hollywood,Articles,Entertainment,https://www.bbc.com/news/articles/ckke5522r23o
269,Japanese girl group release AI-assisted single after fan vote,Articles,Entertainment,https://www.bbc.com/news/articles/c1kwvlyrjyxo
270,Mark Ronson on being a night person - and Lady Gaga trashing his car,Articles,Entertainment,https://www.bbc.com/news/articles/c8xrge1prpyo
